레진으로 고양이 분수대 고치기(ENG SUB),6:59,조회수 38만회,2년 전
한이음 엑스포에서 당신의 머릿속을 꿰뚫는 로봇을 만나다,9:08,조회수 9.6만회,2년 전
직접 만든 악마의 단검으로 뜨끈한 돼지국밥 만들기 (vs 사나고),14:49,조회수 144만회,2년 전
굿즈... 전부 설명해 드리겠습니다,1:09,조회수 8.9만회,2년 전
터널은 대체 어떻게 뚫는걸까?,12:39,조회수 50만회,2년 전
직접 만든 작업복을 입고.. 이 장면을 재구성 했습니닼ㅋㅋㅋ,8:43,조회수 21만회,2년 전
공대생이 클럽 가려고 만든 특수 마스크 (ENG sub),15:39,조회수 81만회,2년 전
이 로봇을 1주일만에 만든다고..? 그것도 고등학생이.. 와.. (ENG sub),14:27,조회수 136만회,2년 전
설마 아직도 고기 굽습니까 휴먼?? 양면으로 고기 구워주는 로봇이 한턱 쏴서 먹고 왔다! | Pork meat cooking by Robot,5:01,조회수 24만회,2년 전
이걸 만드신 분을.. 직접 보게 될 줄 몰랐습니다.. 와..,11:03,조회수 94만회,2년 전
세종이 한글을 만들기 위해.. 포기한 이것.. ( 초대형 한글 시계 ) ENG sub,3:09,조회수 38만회,2년 전
